k,LDA,NMF,KMeans_W2V
5,0.593,0.7061,0.6045
7,0.5951,0.6896,0.6193
10,0.5991,0.6528,0.6428
12,0.5788,0.6369,0.6101
15,0.5812,0.6327,0.6165
20,0.5667,0.6113,0.6117
